Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Taman Tun Dr Ismail,2400000,1,2,2043.043,Unfurnished,Built-up,2,0,0,Serviced Residence
Taman Tun Dr Ismail,1400000,3,1,1393.093,Unfurnished,Built-up,3,0,0,Serviced Residence
Taman Tun Dr Ismail,1100000,2,1,870.07,Unfurnished,Built-up,2,0,0,Serviced Residence
City Centre,2200000,4,3,3203.003,Fully Furnished,Built-up,4,0,0,Condominium
KL City,1470500,2,1,887.087,Partly Furnished,Built-up,2,0,0,Serviced Residence
KL City,1936000,3,2,1157.057,Partly Furnished,Built-up,3,0,0,Serviced Residence
KL Sentral,1500000,3,1,1750.05,Partly Furnished,Built-up,3,1,0,Condominium
Wangsa Maju,1500000,4,3,3054.054,Partly Furnished,Built-up,4,1,0,Condominium
Dutamas,940000,3,2,1467.067,Unfurnished,Built-up,3,1,0,Condominium
Dutamas,1035000,4,2,1710.01,Partly Furnished,Built-up,3,1,0,Condominium
Dutamas,1220000,4,2,1974.074,Partly Furnished,Built-up,3,1,0,Condominium
Kuchai Lama,720000,3,2,1496.096,Partly Furnished,Land area,3,1,0,Condominium
Kuchai Lama,435000,2,1,970.07,Partly Furnished,Land area,2,1,0,Condominium
Dutamas,860000,5,2,2980.08,Partly Furnished,Land area,5,0,0,Condominium
Jalan Ipoh,388000,2,1,1057.057,Partly Furnished,Built-up,3,0,0,Condominium
Jalan Ipoh,450000,2,1,1068.068,Partly Furnished,Built-up,3,0,0,Condominium
Jalan Ipoh,415000,2,1,1057.057,Partly Furnished,Built-up,3,0,0,Condominium
Other,4500000,7,6,5328.028,Partly Furnished,Land area,5,1,0,Bungalow
Mont Kiara,1199999,2,2,932.032,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,8800000,5,2,4157.057,Partly Furnished,Built-up,4,1,0,Serviced Residence
Mont Kiara,4800000,7,3,4000.0,Partly Furnished,Land area,6,1,0,Semi-detached House
Wangsa Maju,1500000,5,3,1980.08,Partly Furnished,Land area,6,0,0,Terrace/Link House
Taman Melawati,1500000,5,2,3200.0,Partly Furnished,Land area,4,1,0,Semi-detached House
Damansara Heights,3650000,4,2,6000.0,Unfurnished,Land area,4,1,0,Bungalow
Bangsar,2100000,3,2,1872.072,Partly Furnished,Land area,4,0,0,Terrace/Link House
Sentul,430000,2,1,1226.026,Partly Furnished,Built-up,3,0,0,Condominium
Taman Melawati,1750000,6,2,51.078,Unfurnished,Land area,5,1,0,Terrace/Link House
Cheras,828000,3,2,42.565,Fully Furnished,Land area,4,0,0,Terrace/Link House
Ampang,1400000,4,6,94.555,Unfurnished,Land area,7,0,0,Bungalow
KLCC,1810000,3,3,1426.026,Fully Furnished,Built-up,3,0,0,Serviced Residence
Mont Kiara,870000,2,1,826.026,Fully Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1650000,3,2,2020.02,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,3120000,5,3,3632.032,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1120000,2,1,910.01,Partly Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1450000,3,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,3000000,5,6,4626.026,Partly Furnished,Built-up,4,0,0,Condominium
Mont Kiara,1600000,3,2,1878.078,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,3600000,2,2,1560.06,Fully Furnished,Built-up,3,0,0,Serviced Residence
KLCC,3700000,5,2,3897.097,Fully Furnished,Built-up,3,1,0,Serviced Residence
KLCC,4290000,6,2,3300.0,Fully Furnished,Land area,4,1,0,Condominium
Mont Kiara,730000,2,2,1141.041,Partly Furnished,Built-up,3,0,0,Serviced Residence
Mont Kiara,1550000,3,2,1497.097,Partly Furnished,Built-up,3,1,0,Condominium
Segambut,370000,2,1,918.018,Partly Furnished,Built-up,3,0,0,Apartment
Jalan Klang Lama (Old Klang Road),890000,4,2,1620.02,Unfurnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),920000,3,2,1523.023,Partly Furnished,Built-up,2,1,0,Condominium
Taman Desa,1000000,3,2,2278.078,Partly Furnished,Built-up,2,1,0,Condominium
Taman Desa,1350000,4,2,2059.059,Fully Furnished,Built-up,3,1,0,Condominium
Taman Desa,700000,3,2,1355.055,Partly Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,848000,2,2,1335.035,Partly Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),930000,3,2,1523.023,Partly Furnished,Built-up,2,1,0,Condominium
Jalan Klang Lama (Old Klang Road),1270000,4,3,2128.028,Partly Furnished,Built-up,3,2,0,Condominium
Jalan Klang Lama (Old Klang Road),1280000,4,3,2128.028,Unfurnished,Built-up,3,2,0,Condominium
Jalan Klang Lama (Old Klang Road),1000000,3,2,1535.035,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),460000,2,1,1044.044,Partly Furnished,Built-up,3,0,0,Condominium
Bandar Menjalara,620000,3,1,1316.016,Partly Furnished,Built-up,3,0,0,Condominium
Other,8280000,5,4,5500.0,Partly Furnished,Built-up,4,2,0,Terrace/Link House
Mont Kiara,950000,2,3,1550.05,Fully Furnished,Built-up,3,1,0,Condominium
Sri Hartamas,510000,1,1,435.035,Fully Furnished,Built-up,0,0,1,Serviced Residence
Mont Kiara,2470000,5,3,2907.007,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1000000,3,2,1500.0,Fully Furnished,Built-up,3,1,0,Condominium
Kepong,455525,2,2,2907.007,Partly Furnished,Land area,3,1,0,Condominium
Setapak,1361717,6,3,2646.046,Unfurnished,Built-up,5,1,0,Condominium
Wangsa Maju,235000,1,1,640.04,Unfurnished,Built-up,2,0,0,Flat
Bukit Jalil,500000,2,1,1080.08,Partly Furnished,Built-up,3,0,0,Apartment
KL Sentral,1888000,2,1,1399.099,Fully Furnished,Built-up,2,1,0,Condominium
Taman Tun Dr Ismail,1600000,3,2,1800.0,Partly Furnished,Land area,4,0,0,Terrace/Link House
Ampang,990000,2,1,1066.066,Partly Furnished,Built-up,2,0,0,Serviced Residence
Ampang Hilir,2250000,3,3,1744.044,Fully Furnished,Built-up,3,1,0,Condominium
Bangsar,14800000,6,6,6900.0,Partly Furnished,Built-up,4,2,0,Condominium
Desa ParkCity,2400000,4,3,3600.0,Partly Furnished,Built-up,4,1,0,Terrace/Link House
Jalan Klang Lama (Old Klang Road),435000,2,1,775.075,Partly Furnished,Land area,1,0,0,Serviced Residence
Taman Desa,960000,2,1,1650.05,Partly Furnished,Land area,3,0,0,Condominium
OUG,1800000,3,6,4500.0,Fully Furnished,Land area,4,0,0,Semi-detached House
Bukit Jalil,700000,2,2,1100.0,Partly Furnished,Built-up,3,0,0,Condominium
Pandan Indah,950000,3,2,45.07,Unfurnished,Land area,4,0,0,Terrace/Link House
Cheras,830000,3,2,2500.0,Partly Furnished,Land area,4,0,0,Terrace/Link House
Dutamas,1600,2,1,850.05,Partly Furnished,Built-up,3,0,0,Condominium
Kuchai Lama,928000,3,2,51.08,Fully Furnished,Land area,5,0,0,Terrace/Link House
Desa ParkCity,1190000,3,2,1432.032,Fully Furnished,Built-up,3,1,0,Condominium
KL Eco City,930000,1,1,710.01,Fully Furnished,Built-up,1,0,0,Condominium
KLCC,29000000,13,10,70000.0,Partly Furnished,Land area,13,1,0,Bungalow
Jalan Klang Lama (Old Klang Road),380000,2,1,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
Ampang,1100000,3,2,1230.03,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,490000,2,1,720.02,Fully Furnished,Built-up,2,0,0,Serviced Residence
Ampang,670000,2,1,950.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Ampang,938000,2,2,0.0,Partly Furnished,Land area,2,0,0,Serviced Residence
Ampang,1300000,2,2,0.0,Partly Furnished,Land area,3,1,0,Serviced Residence
Kepong,430000,3,2,1216.016,Unfurnished,Built-up,3,0,0,Condominium
Taman Tun Dr Ismail,2680000,2,8,5700.0,Partly Furnished,Land area,3,0,0,Terrace/Link House
OUG,5500000,3,15,25306.006,Partly Furnished,Land area,4,0,0,Bungalow
KLCC,3700000,3,1,2543.043,Fully Furnished,Built-up,3,1,0,Serviced Residence
Damansara Heights,4500000,6,6,6360.06,Partly Furnished,Land area,6,0,0,Bungalow
KLCC,1710305,2,1,1159.059,Fully Furnished,Built-up,2,0,0,Condominium
KLCC,1103150,1,1,630.03,Fully Furnished,Built-up,1,0,0,Condominium
Bukit Jalil,420000,2,1,1088.088,Partly Furnished,Built-up,4,0,0,Condominium
Damansara Heights,1658000,2,1,1152.052,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,10500,5,2,3897.097,Partly Furnished,Built-up,3,1,0,Serviced Residence
Taman Desa,445000,3,1,938.038,Fully Furnished,Built-up,3,0,0,Condominium
Setapak,470000,2,2,902.002,Fully Furnished,Built-up,2,0,0,Condominium
Setapak,480000,2,1,1102.002,Partly Furnished,Built-up,3,0,0,Condominium
Bangsar,1200000,3,1,1561.061,Fully Furnished,Land area,3,1,0,Condominium
Bangsar South,1600000,2,2,2095.095,Partly Furnished,Built-up,3,1,0,Condominium
Taman Desa,439000,2,1,917.017,Unfurnished,Built-up,3,0,0,Condominium
Bukit Jalil,1100000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
Bukit Bintang,1190000,2,1,1570.07,Fully Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,520000,1,1,667.067,Partly Furnished,Built-up,2,0,0,Condominium
Brickfields,1350000,3,2,1920.02,Fully Furnished,Built-up,3,1,0,Condominium
Brickfields,600000,1,1,880.08,Fully Furnished,Built-up,1,1,0,Serviced Residence
Brickfields,730000,2,1,1080.08,Fully Furnished,Built-up,2,1,0,Condominium
Ampang Hilir,830000,2,1,1400.0,Fully Furnished,Built-up,2,0,0,Serviced Residence
Taman Desa,445000,2,1,917.017,Fully Furnished,Built-up,3,0,0,Condominium
Titiwangsa,480000,1,1,710.01,Unfurnished,Built-up,2,0,0,Serviced Residence
Bangsar South,780000,2,1,815.015,Partly Furnished,Built-up,2,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),680000,2,2,1094.094,Unfurnished,Built-up,3,1,0,Serviced Residence
Batu Caves,220000,2,1,776.076,Fully Furnished,Built-up,3,0,0,Apartment
Batu Caves,350000,4,2,40.06,Unfurnished,Land area,4,0,0,Terrace/Link House
KLCC,3613500,4,2,3285.085,Partly Furnished,Built-up,3,1,0,Condominium
Bangsar,2456300,5,2,3509.009,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1350000,1,2,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence
Mont Kiara,1450000,4,2,3200.0,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,1085700,2,1,1551.051,Unfurnished,Built-up,2,0,0,Condominium
KLCC,1500000,2,1,1074.074,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,4000000,3,2,2250.05,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,2480000,2,1,1076.076,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,2357250,3,2,2245.045,Partly Furnished,Built-up,3,1,0,Condominium
City Centre,1430000,1,1,1131.031,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2400000,4,3,3311.011,Partly Furnished,Built-up,4,1,0,Serviced Residence
KLCC,1300000,2,1,1076.076,Fully Furnished,Built-up,2,1,0,Condominium
KLCC,5600000,4,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,1550000,4,2,2098.098,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,2967000,4,1,2473.073,Fully Furnished,Built-up,3,1,0,Serviced Residence
Bangsar,950000,2,1,1098.098,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bangsar,1500000,2,1,1098.098,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1050000,2,1,1140.04,Fully Furnished,Built-up,2,0,0,Condominium
Mont Kiara,3234540,5,3,3478.078,Partly Furnished,Built-up,4,1,0,Condominium
Bangsar,1100000,2,1,1180.08,Fully Furnished,Built-up,2,0,0,Condominium
KLCC,2650000,4,2,2345.045,Partly Furnished,Built-up,4,1,0,Serviced Residence
KLCC,4869700,5,3,4427.027,Partly Furnished,Built-up,5,1,0,Condominium
City Centre,1100000,2,1,1298.098,Fully Furnished,Built-up,2,0,0,Condominium
KLCC,1800000,4,2,2200.0,Partly Furnished,Built-up,3,1,0,Serviced Residence
Wangsa Maju,470000,2,1,998.098,Partly Furnished,Land area,3,0,0,Apartment
Cheras,1028888,4,2,2180.08,Partly Furnished,Built-up,3,1,0,Terrace/Link House
Bukit Jalil,680000,2,2,791.091,Partly Furnished,Built-up,2,0,0,Serviced Residence
Batu Caves,325000,2,1,860.06,Partly Furnished,Built-up,3,0,0,Condominium
City Centre,1000000,2,1,943.043,Fully Furnished,Built-up,1,0,0,Serviced Residence
Ampang,700000,2,1,911.011,Fully Furnished,Built-up,1,0,0,Serviced Residence
Ampang,880000,2,2,1066.066,Fully Furnished,Built-up,2,0,0,Serviced Residence
Desa ParkCity,1700000,3,2,47.575,Unfurnished,Land area,3,1,0,Terrace/Link House
Ampang,1280000,2,1,880.08,Fully Furnished,Built-up,2,0,0,Serviced Residence
Sungai Besi,520000,2,2,1188.088,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1220000,1,1,635.035,Fully Furnished,Built-up,1,1,0,Serviced Residence
Taman Desa,2380000,4,2,3000.0,Partly Furnished,Land area,5,1,0,Semi-detached House
Kepong,1050000,2,3,56.07,Partly Furnished,Land area,4,0,0,Terrace/Link House
Bukit Jalil,375000,2,1,1222.022,Partly Furnished,Built-up,3,0,0,Condominium
Kuchai Lama,378000,2,1,1057.057,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,1539100,6,4,2200.0,Partly Furnished,Land area,6,1,0,Terrace/Link House
Jalan Klang Lama (Old Klang Road),2300,2,2,814.014,Partly Furnished,Built-up,2,0,0,Serviced Residence
Cheras,350000,1,1,732.032,Partly Furnished,Built-up,2,0,0,Apartment
KLCC,1865000,3,1,1232.032,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1634000,2,1,1031.031,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1366000,2,1,871.071,Fully Furnished,Built-up,2,0,0,Condominium
KLCC,1799000,2,1,1154.054,Partly Furnished,Built-up,2,1,0,Condominium
KLCC,2370000,2,2,1502.002,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1390000,2,1,753.053,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1370000,2,1,753.053,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1468000,2,1,867.067,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1120000,1,1,630.03,Partly Furnished,Built-up,1,0,0,Condominium
Setapak,3300000,8,4,4500.0,Partly Furnished,Land area,6,1,0,Bungalow
Ampang,2990000,7,6,5930.03,Partly Furnished,Land area,5,2,0,Bungalow
Setapak,235000,2,1,845.045,Unfurnished,Built-up,3,0,0,Condominium
Jalan Ipoh,600000,2,1,1275.075,Partly Furnished,Built-up,3,0,0,Condominium
Taman Desa,525000,2,1,715.015,Fully Furnished,Built-up,2,0,0,Serviced Residence
Sungai Besi,499000,2,2,1184.084,Partly Furnished,Built-up,3,0,0,Condominium
Sri Petaling,390000,2,1,904.004,Partly Furnished,Built-up,3,0,0,Apartment
Cheras,285000,2,1,861.061,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,460000,2,2,1088.088,Partly Furnished,Land area,4,0,0,Condominium
KLCC,1700000,2,1,1496.096,Fully Furnished,Built-up,3,0,0,Serviced Residence
Bukit Tunku (Kenny Hills),2200000,5,3,3253.053,Fully Furnished,Built-up,4,1,0,Condominium
Keramat,1100000,4,2,1700.0,Fully Furnished,Built-up,3,1,0,Condominium
Cheras,620000,3,2,46.07,Partly Furnished,Land area,3,0,0,Terrace/Link House
Bukit Jalil,428000,2,1,1151.051,Fully Furnished,Built-up,3,0,0,Apartment
Bukit Jalil,400000,2,2,1091.091,Partly Furnished,Land area,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),430000,2,2,883.083,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,4500000,6,7,5000.0,Partly Furnished,Land area,5,2,0,Bungalow
Bukit Jalil,705000,2,2,1300.0,Fully Furnished,Built-up,3,0,0,Condominium
Setapak,330000,1,1,380.08,Partly Furnished,Built-up,0,0,1,Serviced Residence
Mont Kiara,2000000,4,2,2020.02,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2788000,4,3,2305.005,Partly Furnished,Built-up,3,1,0,Serviced Residence
Segambut,450000,2,1,1165.065,Fully Furnished,Built-up,3,0,0,Apartment
Wangsa Maju,350000,3,1,1000.0,Partly Furnished,Built-up,3,1,0,Condominium
Cheras,320000,2,1,903.003,Fully Furnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),815000,3,2,1578.078,Fully Furnished,Built-up,3,0,0,Condominium
Sri Petaling,500000,2,1,1100.0,Fully Furnished,Built-up,3,0,0,Condominium
KLCC,4900000,4,2,2250.05,Partly Furnished,Built-up,3,1,0,Condominium
Sungai Besi,350000,2,1,850.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Cheras,540000,2,1,1394.094,Partly Furnished,Built-up,3,1,0,Condominium
Sentul,810000,3,1,1186.086,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,4000000,4,3,2250.05,Partly Furnished,Built-up,3,1,0,Condominium
Sri Petaling,1000000,5,3,2024.024,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2000000,5,2,2498.098,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2005300,5,2,2498.098,Partly Furnished,Built-up,3,1,0,Condominium
Taman Tun Dr Ismail,900000,2,1,1470.07,Partly Furnished,Built-up,3,0,0,Condominium
Taman Tun Dr Ismail,950000,3,1,1500.0,Fully Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,995000,2,2,1440.04,Partly Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,1110000,4,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium
Setapak,420000,3,1,1335.035,Unfurnished,Built-up,4,0,0,Condominium
Sri Hartamas,1550000,3,2,48.575,Partly Furnished,Land area,4,0,0,Terrace/Link House
Cheras,620000,2,2,1286.086,Partly Furnished,Built-up,3,0,0,Condominium
Setapak,470000,3,1,1331.031,Partly Furnished,Built-up,4,0,0,Condominium
Bukit Jalil,490000,2,2,1224.024,Fully Furnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),2000,2,2,1086.086,Partly Furnished,Built-up,3,0,0,Condominium
Sungai Besi,1480000,4,4,1245.08,Partly Furnished,Land area,5,1,0,Terrace/Link House
Sungai Besi,1020000,4,4,2600.0,Partly Furnished,Built-up,5,1,0,Terrace/Link House
Bukit Jalil,1399900,5,2,47.573,Unfurnished,Land area,4,1,0,Terrace/Link House
Jalan Klang Lama (Old Klang Road),660000,2,2,1094.094,Unknown,Built-up,3,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),700000,2,1,953.053,Partly Furnished,Land area,3,0,0,Serviced Residence
Wangsa Maju,530000,3,2,1267.067,Partly Furnished,Land area,3,0,0,Condominium
Desa Petaling,310000,2,2,886.086,Partly Furnished,Built-up,3,0,0,Apartment
Taman Desa,630000,2,2,1110.01,Fully Furnished,Built-up,3,0,0,Condominium
Taman Desa,680000,2,2,1110.01,Fully Furnished,Built-up,3,0,0,Condominium
Cheras,618000,2,1,871.071,Partly Furnished,Land area,3,0,0,Serviced Residence
Cheras,395000,2,1,950.05,Partly Furnished,Land area,3,0,0,Serviced Residence
Cheras,2990000,6,4,5070.07,Partly Furnished,Land area,5,1,0,Semi-detached House
Cheras,568000,3,2,1376.076,Partly Furnished,Built-up,3,1,0,Condominium
Sri Hartamas,550000,1,1,560.06,Fully Furnished,Built-up,0,0,1,Serviced Residence
Taman Tun Dr Ismail,1550000,3,2,1442.042,Partly Furnished,Built-up,2,1,0,Serviced Residence
Brickfields,1100000,3,2,1678.078,Fully Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,2990000,5,3,3500.0,Partly Furnished,Built-up,3,2,0,Terrace/Link House
Wangsa Maju,850000,2,2,1389.089,Partly Furnished,Built-up,3,0,0,Condominium
Sungai Besi,468888,1,2,850.05,Partly Furnished,Built-up,0,0,1,Serviced Residence
Sentul,750000,3,2,1630.03,Fully Furnished,Built-up,4,0,0,Condominium
Taman Tun Dr Ismail,1680000,3,2,1900.0,Fully Furnished,Land area,4,0,0,Terrace/Link House
Salak Selatan,450000,1,2,575.075,Partly Furnished,Built-up,2,0,0,Serviced Residence
Wangsa Maju,949050,3,2,1637.037,Unfurnished,Built-up,3,0,0,Condominium
Mont Kiara,2850000,7,4,4550.05,Partly Furnished,Built-up,6,1,0,Condominium
Wangsa Maju,530000,3,2,1030.03,Partly Furnished,Built-up,4,0,0,Serviced Residence
Setiawangsa,360000,2,1,986.086,Unfurnished,Built-up,3,0,0,Apartment
Setapak,500000,2,1,904.004,Unfurnished,Built-up,2,0,0,Condominium
Jalan Kuching,530000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Condominium
Brickfields,500000,2,1,952.052,Partly Furnished,Built-up,2,1,0,Condominium
Mont Kiara,820000,2,1,1216.016,Fully Furnished,Built-up,3,0,0,Condominium
Brickfields,650000,1,1,822.022,Fully Furnished,Built-up,1,0,0,Condominium
Brickfields,640000,1,1,822.022,Fully Furnished,Built-up,1,0,0,Condominium
Jalan Ipoh,525000,1,2,15522.01956438,Partly Furnished,Land area,3,0,0,Terrace/Link House
Taman Desa,339000,2,1,829.029,Unfurnished,Built-up,3,0,0,Apartment
Segambut,600000,2,1,1124.024,Unfurnished,Built-up,3,0,0,Condominium
Setapak,400000,2,2,950.05,Partly Furnished,Built-up,4,0,0,Condominium
Mont Kiara,1496000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1650000,3,2,1905.005,Fully Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,656000,2,3,1550.05,Unfurnished,Land area,4,0,0,Condominium
KLCC,2050000,4,2,1800.0,Fully Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1998000,2,1,1299.099,Fully Furnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,690000,2,1,971.071,Partly Furnished,Land area,3,0,0,Serviced Residence
KL Sentral,2100000,4,2,2886.086,Partly Furnished,Built-up,4,1,0,Condominium
KL Sentral,1530000,1,1,1087.087,Partly Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,1500000,1,1,1087.087,Partly Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,1200000,3,1,1432.032,Fully Furnished,Built-up,3,1,0,Condominium
KL Sentral,1500000,3,1,1584.084,Fully Furnished,Built-up,3,0,0,Condominium
KL Sentral,1450000,1,1,1087.087,Fully Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,2200000,4,2,2886.086,Partly Furnished,Built-up,4,1,0,Condominium
KL Sentral,1580000,1,1,1087.087,Partly Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,1250000,2,1,1119.019,Fully Furnished,Built-up,2,0,0,Condominium
KL Sentral,2500000,5,2,2818.018,Fully Furnished,Built-up,4,1,0,Condominium
KL Sentral,1190000,1,2,913.013,Fully Furnished,Built-up,1,1,0,Condominium
KL Sentral,2080000,3,1,1485.085,Partly Furnished,Built-up,2,0,0,Serviced Residence
KL Sentral,2100000,5,2,2818.018,Fully Furnished,Built-up,5,0,0,Condominium
KL Sentral,2250000,5,3,2961.061,Fully Furnished,Built-up,5,0,0,Condominium
KL Sentral,1330000,3,1,1543.043,Fully Furnished,Built-up,2,1,0,Condominium
KL Sentral,1490000,3,1,1459.059,Fully Furnished,Built-up,2,1,0,Condominium
KL Sentral,1200000,2,1,1119.019,Fully Furnished,Built-up,2,0,0,Condominium
KL Sentral,2110000,3,1,1625.025,Partly Furnished,Built-up,2,1,0,Serviced Residence
KL Sentral,2440000,3,1,1625.025,Partly Furnished,Built-up,2,1,0,Serviced Residence
KL Sentral,2670000,5,2,2227.027,Partly Furnished,Built-up,3,0,0,Serviced Residence
KL Sentral,2600000,4,2,1787.087,Fully Furnished,Built-up,3,0,0,Serviced Residence
KL Sentral,1780000,1,1,1259.059,Fully Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,1890000,3,1,1399.099,Fully Furnished,Built-up,2,0,0,Serviced Residence
KL Sentral,1570000,2,1,1399.099,Fully Furnished,Built-up,2,0,0,Serviced Residence
KL Sentral,1630000,1,1,1087.087,Partly Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,2500000,3,1,1787.087,Partly Furnished,Built-up,2,0,0,Serviced Residence
KL Sentral,1400000,1,1,1087.087,Fully Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,1790000,1,1,1259.059,Partly Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,1300000,3,2,1441.041,Fully Furnished,Built-up,2,1,0,Condominium
KL Sentral,900000,1,1,898.098,Partly Furnished,Built-up,1,1,0,Condominium
KL Sentral,1300000,2,1,1432.032,Fully Furnished,Built-up,2,1,0,Condominium
KL Sentral,2500000,5,2,1787.087,Partly Furnished,Built-up,3,0,0,Serviced Residence
KL Sentral,2800000,4,2,1787.087,Partly Furnished,Built-up,3,0,0,Serviced Residence
KL Sentral,1460000,1,1,1087.087,Fully Furnished,Built-up,1,1,0,Serviced Residence
KL Sentral,2000000,3,1,1485.085,Partly Furnished,Built-up,2,1,0,Serviced Residence
KL Sentral,1600000,1,1,1087.087,Fully Furnished,Built-up,1,1,0,Serviced Residence
Setapak,280000,1,1,600.0,Fully Furnished,Built-up,2,0,0,Apartment
Taman Desa,499000,2,1,715.015,Unfurnished,Built-up,2,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),413000,1,1,621.021,Partly Furnished,Built-up,1,0,0,Serviced Residence
KL City,4900,2,2,1095.095,Fully Furnished,Built-up,2,0,0,Condominium
Kepong,1230000,4,2,45.07,Partly Furnished,Land area,5,1,0,Terrace/Link House
Kepong,680000,2,2,48.575,Partly Furnished,Land area,4,0,0,Terrace/Link House
Desa ParkCity,2750000,4,3,35.04,Partly Furnished,Land area,4,0,0,Terrace/Link House
Kepong,658000,2,2,53.587,Unfurnished,Land area,3,0,0,Terrace/Link House
Mont Kiara,1880000,3,2,2243.043,Fully Furnished,Built-up,3,1,0,Condominium
Setiawangsa,699000,3,1,1450.05,Fully Furnished,Built-up,4,0,0,Condominium
Kuchai Lama,480000,2,1,963.063,Partly Furnished,Built-up,3,0,0,Condominium
Sunway SPK,2280000,4,3,55.575,Partly Furnished,Land area,4,1,0,Terrace/Link House
Mont Kiara,2154750,5,3,2535.035,Partly Furnished,Built-up,3,1,0,Condominium
Wangsa Maju,700000,5,3,2560.06,Partly Furnished,Built-up,5,1,0,Condominium
Sentul,480000,2,1,901.001,Unfurnished,Land area,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),735000,2,2,1400.0,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,650000,3,2,1291.091,Partly Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),1070000,4,2,1875.075,Partly Furnished,Built-up,3,1,0,Condominium
Pandan Perdana,510000,2,2,42.565,Partly Furnished,Land area,3,0,0,Terrace/Link House
Sentul,429000,2,1,943.043,Partly Furnished,Built-up,2,0,0,Serviced Residence
