Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Desa ParkCity,1180000,3,2,1507.007,Partly Furnished,Built-up,2,1,0,Condominium
KLCC,2950000,4,2,2674.074,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,3090000,2,2,1572.072,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1230000,4,2,1378.078,Fully Furnished,Built-up,3,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),350000,2,1,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1230000,1,1,850.05,Fully Furnished,Built-up,1,0,0,Serviced Residence
Desa ParkCity,1250000,2,2,1303.003,Partly Furnished,Built-up,2,1,0,Condominium
Desa ParkCity,2500000,5,3,42.062,Partly Furnished,Land area,3,1,0,Terrace/Link House
Desa ParkCity,1100000,3,2,1378.078,Unfurnished,Built-up,2,1,0,Condominium
Desa ParkCity,1980000,4,3,48.575,Partly Furnished,Land area,3,1,0,Terrace/Link House
Bangsar,1300000,2,2,39.555,Partly Furnished,Land area,3,0,0,Townhouse
Taman Melawati,2800000,6,4,5628.028,Partly Furnished,Land area,4,1,0,Bungalow
KLCC,3900000,2,2,1636.036,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1300000,1,1,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence
Bukit Jalil,438000,2,1,1018.018,Partly Furnished,Built-up,3,0,0,Apartment
Jalan Klang Lama (Old Klang Road),530000,2,1,900.0,Partly Furnished,Built-up,3,1,0,Serviced Residence
Setiawangsa,590000,2,2,1196.096,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1000000,1,1,751.051,Partly Furnished,Built-up,1,0,0,Condominium
KLCC,1900000,2,1,915.015,Partly Furnished,Built-up,2,1,0,Condominium
Setapak,380000,2,2,950.05,Unfurnished,Built-up,3,1,0,Condominium
KLCC,1198000,1,1,764.064,Fully Furnished,Built-up,1,1,0,Serviced Residence
KLCC,1000000,1,1,657.057,Partly Furnished,Built-up,0,0,1,Condominium
Bangsar,12000000,6,4,11500.0,Partly Furnished,Land area,6,1,0,Bungalow
Taman Tun Dr Ismail,1280000,3,2,50.075,Partly Furnished,Land area,4,0,0,Terrace/Link House
KLCC,1780000,1,1,728.028,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2300000,1,1,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence
Sungai Besi,1340000,6,4,52.08,Partly Furnished,Land area,4,1,0,Terrace/Link House
Sungai Besi,1600000,6,4,552.08,Partly Furnished,Land area,4,1,0,Terrace/Link House
KLCC,800000,3,1,1055.055,Fully Furnished,Built-up,2,1,0,Serviced Residence
Sentul,320000,2,2,823.5,Unfurnished,Land area,4,0,0,Serviced Residence
Bukit Bintang,6000000,5,2,4157.057,Partly Furnished,Built-up,4,1,0,Serviced Residence
Taman Tun Dr Ismail,1090000,2,2,52.08,Partly Furnished,Land area,3,0,0,Terrace/Link House
KLCC,1250000,4,2,1378.078,Fully Furnished,Built-up,3,1,0,Serviced Residence
Taman Tun Dr Ismail,1330000,3,2,49.575,Partly Furnished,Land area,3,1,0,Terrace/Link House
Mont Kiara,1850000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,2400000,2,1,1006.006,Partly Furnished,Built-up,2,0,0,Serviced Residence
Wangsa Maju,1613300,5,3,2336.036,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,2440000,2,1,1023.023,Fully Furnished,Built-up,1,0,0,Serviced Residence
Damansara Heights,5000000,3,4,7700.0,Partly Furnished,Land area,3,1,0,Bungalow
Sri Hartamas,7300000,6,6,7300.0,Partly Furnished,Land area,6,0,0,Bungalow
KL Sentral,783990,1,1,650.05,Partly Furnished,Built-up,1,0,0,Serviced Residence
Other,569200,2,2,888.088,Unfurnished,Built-up,1,1,0,Serviced Residence
Cheras,439600,2,2,925.0,Partly Furnished,Land area,3,0,0,Condominium
Taman Tun Dr Ismail,1150000,2,1,1560.06,Partly Furnished,Built-up,3,0,0,Condominium
