Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 979,000",4,3,1,Condominium,"Built-up : 1,335 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 748,000",3,2,2,Condominium,"Built-up : 1,048 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 830,000",3,3,2,Condominium,"Built-up : 1,315 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 507,000",2,1,1,Condominium,Built-up : 730 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 950,000",3+1,2,3,Serviced Residence,"Built-up : 1,170 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 1,000,000",3,3,2,Serviced Residence,"Built-up : 1,210 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 600,000",2,2,1,Serviced Residence,Built-up : 856 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 2,200,000",4,4,2,Serviced Residence (Duplex),"Built-up : 2,365 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,000,000",3+1,3,3,Serviced Residence,"Built-up : 1,301 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 480,000",Studio,1,1,Serviced Residence,Built-up : 570 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 950,000",3,3,2,Serviced Residence,"Built-up : 1,230 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,000,000",4+1,5,2,Condominium,"Built-up : 3,477 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 700,000",2+1,2,1,Condominium,Built-up : 999 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,400,000",1+1,1,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 1,032,000",2,2,1,Apartment,Built-up : 860 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 400,000",2,2,1,Serviced Residence (Corner),Built-up : 651 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 380,000",3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 490,000",3,2,1,Condominium,Built-up : 918 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,760,000",3+1,4,2,Condominium,"Built-up : 2,025 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 5,300,000",5+1,6,4,Semi-detached House (Intermediate),Land area : 3800 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,080,000",3+1,4,3,Condominium,"Built-up : 2,347 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 6,500,000",6+1,7,3,Bungalow,"Built-up : 7,400 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,500,000",4+1,2,4,Serviced Residence (Penthouse),"Built-up : 3,408 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 438,000",3,2,2,Condominium,"Built-up : 1,260 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 965,000",3+1,3,2,Condominium (Corner),"Built-up : 1,440 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,300,000",3+1,3,2,Condominium (Corner),"Built-up : 1,700 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,550,000",3+1,4,3,Condominium (Corner),"Built-up : 2,021 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,350,000",3+1,4,3,Condominium (Intermediate),"Built-up : 1,878 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 500,000",3,2,1,Serviced Residence,Land area : 948 sq. ft.,Unfurnished
"Bangsar, Kuala Lumpur","RM 5,048,040",3+1,5,3,Condominium,"Built-up : 3,658 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 7,300,000",4+2,7,6,Serviced Residence (Duplex),"Built-up : 4,855 sq. ft.",Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 11,000,000",12+,12,20,Bungalow,Land area : 25017 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 6,500,000",5+1,7,5,Condominium,"Built-up : 6,600 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 8,300,000",4+1,6,3,Semi-detached House,"Built-up : 7,836 sq. ft.",Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 35,000,000",8+,10,12,Bungalow,Land area : 35000 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 4,200,000",5+1,5,2,3-sty Terrace/Link House,Land area : 2397 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 5,355,000",4+1,6,3,Condominium,"Built-up : 3,570 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 15,000,000",5+1,7,4,Bungalow,Land area : 7500 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 14,800,000",4+2,6,6,Bungalow,Land area : 13041 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 2,500,000",4+1,5,1,Condominium,"Built-up : 3,380 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 360,000",3,2,1,Apartment,Built-up : 830 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,100,000",2,2,1,Condominium,"Built-up : 1,470 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 400,000",2,2,1,Condominium (Corner),Built-up : 854 sq. ft.,Unfurnished
"Setapak, Kuala Lumpur","RM 255,000",2,1,1,Apartment (Intermediate),Built-up : 600 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 570,000",3,1,1,1-sty Terrace/Link House,"Built-up : 1,430 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,000,000",3+1,2,2,Serviced Residence,"Built-up : 1,550 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 1,250,000",4,2,4,1-sty Terrace/Link House (Intermediate),Land area : 22 x 80 sq. ft.,Unfurnished
"Taman Desa, Kuala Lumpur","RM 500,000",3,2,1,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 520,000",3,2,1,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 1,380,000",4,4,3,2-sty Terrace/Link House (Corner),Land area : 32X75 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 2,400,000",5+2,3,3,Semi-detached House (Intermediate),Land area : 3000 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 568,000",1+1,2,1,Serviced Residence (Intermediate),Built-up : 775 sq. ft.,Fully Furnished
"KL Eco City, Kuala Lumpur","RM 1,565,480",2,2,2,Condominium,"Built-up : 1,119 sq. ft.",Partly Furnished
"KL Eco City, Kuala Lumpur","RM 950,000",1+1,1,1,Condominium,Built-up : 797 sq. ft.,Fully Furnished
"KL Eco City, Kuala Lumpur","RM 1,460,000",2,2,1,Condominium,"Built-up : 1,076 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 1,750,000",4,3,2,Condominium (Corner),"Built-up : 2,095 sq. ft.",Fully Furnished
"KL Eco City, Kuala Lumpur","RM 1,390,000",2,2,1,Condominium,"Built-up : 1,076 sq. ft.",Partly Furnished
"KL Eco City, Kuala Lumpur","RM 1,061,100",1+1,1,1,Condominium,Built-up : 710 sq. ft.,Partly Furnished
"KL Eco City, Kuala Lumpur","RM 1,506,400",2,2,2,Condominium,"Built-up : 1,076 sq. ft.",Fully Furnished
"KL Eco City, Kuala Lumpur","RM 1,453,676",2,2,1,Condominium (Corner),"Built-up : 1,076 sq. ft.",Fully Furnished
"KL Eco City, Kuala Lumpur","RM 840,000",1,1,1,Condominium,Built-up : 710 sq. ft.,Fully Furnished
"KL Eco City, Kuala Lumpur","RM 869,000",1,1,1,Condominium,Built-up : 710 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 615,000",3+1,2,2,Condominium,"Built-up : 1,600 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 620,000",3,2,1,Condominium (Intermediate),"Built-up : 1,019 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 660,000",3,2,2,Condominium (Intermediate),"Built-up : 1,212 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 590,000",3+1,2,2,Condominium (Intermediate),Land area : 800 sq. ft.,Partly Furnished
"Titiwangsa, Kuala Lumpur","RM 530,000",3,2,1,Serviced Residence,Built-up : 753 sq. ft.,Unfurnished
"Setapak, Kuala Lumpur","RM 590,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 4,300,000",9,10,5,Bungalow,Land area : 7500 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 1,090,000",2+1,3,2,Condominium (Intermediate),"Built-up : 1,323 sq. ft.",Fully Furnished
"Taman Desa, Kuala Lumpur","RM 1,300,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,784 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 1,400,000",3+1,4,2,Condominium,"Built-up : 1,784 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,950,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
"Pandan Perdana, Kuala Lumpur","RM 820,000",3,3,2,2-sty Terrace/Link House (Intermediate),Land area : 21x70 sq. ft.,Partly Furnished
"Titiwangsa, Kuala Lumpur","RM 710,000",3+1,2,1,Condominium (Corner),"Built-up : 1,380 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 6,200,000",2+1,2,2,Condominium (Corner),"Built-up : 1,722 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 6,500,000",2+1,2,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 4,500,000",2,2,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,000,000",2,3,2,Condominium (Corner),"Built-up : 1,722 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 7,500,000",3,3,2,Condominium (Corner),"Built-up : 2,110 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 5,100,000",3,3,2,Condominium (Corner),"Built-up : 2,110 sq. ft.",Partly Furnished
"Desa Pandan, Kuala Lumpur","RM 1,156,200",2+1,2,2,Serviced Residence,"Built-up : 1,410 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 2,700,000",4+1,6,3,Condominium (Duplex),"Built-up : 3,847 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 5,580,000",4+1,5,4,Condominium,Land area : 1485 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",1,1,1,Serviced Residence (Intermediate),Built-up : 635 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 7,500,000",7+1,6,5,Bungalow,Land area : 8966 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 8,900,000",4+1,6,3,Condominium,"Built-up : 4,945 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 4,320,000",3+1,4,3,Condominium,"Built-up : 3,600 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 840,000",3,2,1,Townhouse,"Built-up : 1,350 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 790,000",2+1,2,1,Condominium (Intermediate),Land area : Kuala Lumpur sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 480,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 22 x 75 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 1,050,000",4,4,2,Condominium (Intermediate),"Built-up : 1,800 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,890,000",4+1,4,3,Condominium,"Built-up : 3,478 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,880,000",3+2,3,2,Condominium (Corner),"Built-up : 2,243 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 7,500,000",5+1,5,6,Bungalow (Intermediate),Land area : 6000 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 1,080,000",5+1,4,4,2.5-sty Terrace/Link House (Intermediate),Land area : 20x70 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",3+1,5,2,Condominium (Corner),"Built-up : 2,593 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,220,000",2,2,1,Serviced Residence,"Built-up : 1,029 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,150,000",4+1,4,4,Condominium (Intermediate),Land area : 1772 sq. ft.,Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 550,000",3,2,2,Condominium (Corner),"Built-up : 1,267 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 650,000",3,2,2,Condominium (Corner),"Built-up : 1,100 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 4,000,000",4+1,5,3,Condominium (Corner),Land area : unknown sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 355,000",3,2,1,Apartment (Corner),Built-up : 878 sq. ft.,Unfurnished
"Desa Petaling, Kuala Lumpur","RM 375,000",3,2,1,Condominium,"Built-up : 1,012 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,320,000",3+1,5,2,Condominium,"Built-up : 2,084 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,057,350",3+1,5,2,Condominium,"Built-up : 1,875 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,320,000",3+1,5,2,Condominium,"Built-up : 1,876 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,148,100",3+1,5,2,Condominium,"Built-up : 2,081 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,700,000",4+1,5,4,Condominium,"Built-up : 3,020 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,700,000",5+1,5,4,Condominium,"Built-up : 3,020 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 738,000",3+1,3,2,Condominium (Penthouse),"Built-up : 2,300 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 428,000",4,2,1,Condominium,"Built-up : 1,166 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 415,000",3,2,1,Condominium (Corner),Built-up : 945 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur","RM 585,000",3,2,4,Condominium,"Built-up : 1,088 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,500,000",2+1,3,1,Serviced Residence,"Built-up : 1,625 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 800,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 270,000",3,1,1,Apartment (Corner),Built-up : 820 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 570,000",4,2,2,2-sty Terrace/Link House (Intermediate),Land area : 16X55 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 1,400,000",3,3,1,Condominium (Corner),"Built-up : 1,683 sq. ft.",Fully Furnished
"Salak Selatan, Kuala Lumpur","RM 595,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,122 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 980,000",1,1,1,Condominium,Built-up : 642 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 880,000",2,2,2,Serviced Residence,"Built-up : 1,066 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",3+1,4,3,Condominium (Corner),"Built-up : 2,535 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,949,415",3+1,4,3,Condominium (Corner),"Built-up : 2,535 sq. ft.",Fully Furnished
"Bandar Menjalara, Kuala Lumpur","RM 785,600",3,3,2,Serviced Residence (Intermediate),Land area : 1236 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 896,000",3+1,3,2,Condominium (Corner),"Built-up : 1,366 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur","RM 731,900",3,2,2,Serviced Residence (Corner),Land area : 1102 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 485,000",2,2,2,Serviced Residence (Intermediate),Land area : 722 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 754,000",3,3,1,Condominium (Corner),Land area : 1118 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 518,000",4,2,4,1-sty Terrace/Link House (Intermediate),Land area : 22x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 608,000",3+1,2,3,Serviced Residence,"Built-up : 1,292 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 545,000",3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 480,000",3,2,1,Condominium,Built-up : 750 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 560,000",3,2,1,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 1,600,000",4+1,5,3,Condominium,"Built-up : 2,500 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur","RM 1,640,000",4+1,5,3,Condominium,"Built-up : 2,500 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur","RM 848,000",3+1,4,2,Condominium,"Built-up : 1,433 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 980,000",3+1,3,2,Condominium,"Built-up : 1,590 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 820,000",3,3,2,Condominium (Corner),"Built-up : 1,368 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 903,000",3+1,4,2,Condominium (Corner),"Built-up : 1,433 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 780,000",3,3,2,Condominium (Corner),"Built-up : 1,441 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 298,000",3,2,1,Apartment,"Built-up : 1,023 sq. ft.",Unknown
"Bukit Jalil, Kuala Lumpur","RM 1,350,000",3+1,2,2,Condominium (Corner),"Built-up : 1,678 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur","RM 300,000",2,2,1,Serviced Residence (Intermediate),Built-up : 577 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 800,000",3+1,2,1,Condominium (Intermediate),"Built-up : 1,700 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 615,000",3,2,2,Serviced Residence,"Built-up : 1,025 sq. ft.",Partly Furnished
"Desa Petaling, Kuala Lumpur","RM 375,000",3,2,1,Condominium,"Built-up : 1,009 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 3,300,000",2+1,3,1,Serviced Residence (Corner),"Built-up : 2,789 sq. ft.",Fully Furnished
"Batu Caves, Kuala Lumpur","RM 580,000",3,3,2,Serviced Residence,"Built-up : 1,125 sq. ft.",Partly Furnished
"Batu Caves, Kuala Lumpur","RM 570,000",3,2,2,Serviced Residence,"Built-up : 1,125 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,380,000",4+1,5,3,Semi-detached House (Corner),Land area : 40x80 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 1,370,000",4+1,5,3,Condominium,"Built-up : 2,685 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 799,000",3,3,2,Condominium (Corner),"Built-up : 1,368 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 380,000",3,2,2,Condominium,Built-up : 920 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,700,000",3+1,4,3,Condominium,"Built-up : 2,021 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 660,000",2,2,1,Condominium (Intermediate),Built-up : 868 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 650,000",3+1,2,2,Condominium (Corner),"Built-up : 1,473 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,012 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 368,000",3,2,1,Condominium (Corner),"Built-up : 1,017 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur","RM 9,500,000",6+1,6,2,Bungalow (Intermediate),"Built-up : 8,267 sq. ft.",Partly Furnished
"OUG, Kuala Lumpur","RM 650,000",4,2,2,1-sty Terrace/Link House (Intermediate),Land area : 20x80 sq. ft.,Unfurnished
"Sri Hartamas, Kuala Lumpur","RM 3,600,000",4,5,2,3.5-sty Terrace/Link House,Land area : 2142 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 499,000",3,2,2,Condominium (Corner),"Built-up : 1,287 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 1,488,000",5+1,4,4,2-sty Terrace/Link House (Corner),Land area : 4413 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,800,000",4,5,2,Condominium (Intermediate),"Built-up : 3,439 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,120,000",4,5,3,Condominium (Intermediate),"Built-up : 3,439 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,880,000",3+1,4,2,Condominium,"Built-up : 2,243 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,000,000",2+1,2,1,Condominium (EndLot),"Built-up : 1,356 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 190,000",2,1,1,Flat (Intermediate),Built-up : 527 sq. ft.,Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 190,000",2,1,1,Flat,Built-up : 580 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 350,000",3,2,1,Serviced Residence,Built-up : 950 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 500,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 20x90 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 780,000",3,2,2,2-sty Terrace/Link House,Land area : 22x75 sq. ft.,Fully Furnished
"Pandan Perdana, Kuala Lumpur","RM 798,000",4,3,4,2-sty Terrace/Link House (Intermediate),Land area : 23x70 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 430,000",3,2,1,Apartment (EndLot),Built-up : 952 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 900,000",4+1,5,2,2-sty Terrace/Link House,"Built-up : 3,126 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 1,000,000",4+1,4,2,Condominium (Intermediate),"Built-up : 1,607 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 1,450,000",6+1,4,2,3-sty Terrace/Link House,Land area : 24x75 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 5,500,000",7,6,8,Bungalow,Land area : 12000 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 485,000",3,2,1,Condominium,"Built-up : 1,290 sq. ft.",Fully Furnished
"OUG, Kuala Lumpur","RM 3,500,000",5,5,4,Bungalow (Corner),Land area : 8333 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 7,300,000",5+1,7,4,Bungalow,"Built-up : 7,000 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 1,300,000",5+1,4,3,3-sty Terrace/Link House,Land area : 40x70 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 900,000",3+1,3,2,Condominium,"Built-up : 1,830 sq. ft.",Fully Furnished
"Pantai, Kuala Lumpur","RM 750,000",3,2,2,Condominium,"Built-up : 1,253 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 600,000",2+1,2,2,Serviced Residence (Corner),"Built-up : 1,000 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 800,000",2+1,2,2,Serviced Residence,"Built-up : 1,112 sq. ft.",Fully Furnished
"Pantai, Kuala Lumpur","RM 800,000",3+1,2,2,Condominium,"Built-up : 1,300 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 365,000",3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 3,600,000",4+1,5,3,Condominium,"Built-up : 3,600 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 365,000",2,1,2,2-sty Terrace/Link House (Intermediate),Built-up : 850 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 365,000",2,1,2,2-sty Terrace/Link House (Intermediate),Built-up : 825 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 715,000",2+1,2,1,Serviced Residence,"Built-up : 1,148 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 1,200,000",4,3,3,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 380,000",2,2,2,2-sty Terrace/Link House (Intermediate),Built-up : 825 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 845,000",4+1,4,3,2-sty Terrace/Link House (Intermediate),"Built-up : 2,910 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 860,000",4,3,1,2-sty Terrace/Link House,Land area : 21x70 sq. ft.,Fully Furnished
"Taman Melawati, Kuala Lumpur","RM 1,900,000",5+1,7,4,3-sty Terrace/Link House (Intermediate),Land area : 27x100 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 650,000",3+1,2,2,Condominium (Corner),"Built-up : 1,407 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 590,000",4,4,2,Condominium,"Built-up : 1,331 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur","RM 400,000",4,2,2,Condominium (Intermediate),"Built-up : 1,277 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 755,000",6,3,2,Condominium (Corner),"Built-up : 2,550 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur","RM 535,000",3,2,1,Condominium (Corner),"Built-up : 1,248 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 506,000",4,2,2,Serviced Residence (Corner),Built-up : 850 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 850,000",2+1,2,2,Condominium (Corner),"Built-up : 1,442 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 1,250,000",4+1,2,2,Condominium,"Built-up : 1,808 sq. ft.",Fully Furnished
