Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur","RM 6,300,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",2+1,2,1,Condominium,Built-up : 915 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,000,000",4+1,5,3,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,000,000",2+1,2,1,Serviced Residence (Corner),"Built-up : 1,350 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 6,380,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"Batu Caves, Kuala Lumpur","RM 676,775",3+1,3,4,Serviced Residence (Intermediate),"Built-up : 1,265 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 1,750,000",2+1,3,1,Serviced Residence,"Built-up : 1,442 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,780,000",3+1,3,2,2-sty Terrace/Link House (Intermediate),"Built-up : 2,400 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,200,000",5+1,4,4,Condominium (Corner),"Built-up : 1,930 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence,"Built-up : 1,046 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",3+1,3,2,Condominium,"Built-up : 1,878 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,291,000",5+1,4,3,Condominium,"Built-up : 2,069 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 880,000",1,1,1,Serviced Residence,Built-up : 710 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 655,000",3+1,2,2,Serviced Residence (Corner),"Built-up : 1,094 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,400,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 7,975,250",4+1,6,2,Serviced Residence (Penthouse),"Built-up : 2,975 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,100,000",3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,238,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur","RM 750,000",2,2,1,Serviced Residence (Intermediate),Built-up : 823 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,100,000",3+1,4,2,Condominium (Corner),"Built-up : 2,153 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,6,3,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 990,000",2+2,3,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,960,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,184 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,087 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 5,460,000",7+1,9,6,3.5-sty Terrace/Link House (Intermediate),"Built-up : 7,000 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,050,000",3+1,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 1,121,800",2+1,2,1,Serviced Residence,"Built-up : 1,200 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,506,300",2,1,1,Serviced Residence (Intermediate),"Built-up : 1,020 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,530,000",3+1,3,2,Condominium (Corner),"Built-up : 2,095 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur","RM 3,680,000",7,8,4,Bungalow (Corner),Land area : 6300 sq. ft.,Unfurnished
"Sri Hartamas, Kuala Lumpur","RM 14,800,000",4+2,6,4,Bungalow,Land area : 8611 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,480,000",3+2,4,2,Condominium (Corner),"Built-up : 1,917 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 1,050,000",3,2,2,Condominium (Intermediate),"Built-up : 1,485 sq. ft.",Fully Furnished
"Klcc, Kuala Lumpur","RM 1,200,019",2,2,1,Condominium (Corner),Built-up : 577 sq. ft.,Partly Furnished
"Bukit Kiara, Kuala Lumpur","RM 4,988,888",4+1,6,3,4-sty Terrace/Link House,Land area : 24x85 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,820,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,420,000",3+1,4,2,Condominium,"Built-up : 1,499 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",4+1,4,2,Condominium,"Built-up : 1,832 sq. ft.",Partly Furnished
"Bukit Kiara, Kuala Lumpur","RM 4,988,888",5+1,6,3,4-sty Terrace/Link House (Intermediate),Land area : 24x85 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,680,000",3+1,2,3,Condominium,"Built-up : 1,159 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,210,000",3,3,2,Condominium,"Built-up : 1,502 sq. ft.",Fully Furnished
